#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase ()
1,100.0,1.0000,0.00,5.08
2,112.2,1.0000,-0.03,4.39
3,125.9,1.0000,0.00,3.80
4,141.3,1.0000,0.00,3.20
5,158.5,1.0000,0.00,2.64
6,177.8,1.0000,-0.02,2.29
7,199.5,1.0000,0.00,1.87
8,223.9,1.0000,-0.03,1.55
9,251.2,1.0000,-0.04,1.23
10,281.8,1.0000,-0.03,0.88
11,316.2,1.0000,-0.04,0.70
12,354.8,1.0000,-0.04,0.35
13,398.1,1.0000,-0.05,0.03
14,446.7,1.0000,-0.08,-0.18
15,501.2,1.0000,-0.08,-0.35
16,562.3,1.0000,-0.04,-0.53
17,631.0,1.0000,-0.12,-0.88
18,707.9,1.0000,-0.08,-1.05
19,794.3,1.0000,-0.08,-1.05
20,891.3,1.0000,-0.12,-1.23
21,1000.0,1.0000,-0.12,-1.58
22,1122.0,1.0000,-0.12,-1.92
23,1258.9,1.0000,-0.12,-1.93
24,1412.5,1.0000,-0.12,-2.29
25,1584.9,1.0000,-0.12,-2.64
26,1778.3,1.0000,-0.12,-2.99
27,1995.3,1.0000,-0.12,-3.45
28,2238.7,1.0000,-0.12,-3.73
29,2511.9,1.0000,-0.12,-4.26
30,2818.4,1.0000,-0.12,-5.06
31,3162.3,1.0000,-0.15,-5.63
32,3548.1,1.0000,-0.12,-6.22
33,3981.1,1.0000,-0.16,-7.07
34,4466.8,1.0000,-0.16,-7.97
35,5011.9,1.0000,-0.20,-9.14
36,5623.4,1.0000,-0.23,-10.20
37,6309.6,1.0000,-0.24,-11.43
38,7079.5,1.0000,-0.30,-12.66
39,7943.3,1.0000,-0.35,-14.24
40,8912.5,1.0000,-0.40,-15.86
41,10000.0,1.0000,-0.50,-17.72
42,11220.2,1.0000,-0.63,-19.76
43,12589.3,1.0000,-0.70,-21.97
44,14125.4,1.0000,-0.86,-24.40
45,15848.9,1.0000,-1.02,-26.93
46,17782.8,1.0000,-1.26,-29.71
47,19952.6,1.0000,-1.54,-32.58
48,22387.2,1.0000,-1.85,-35.80
49,25118.9,1.0000,-2.20,-38.98
50,28183.8,1.0000,-2.62,-42.19
51,31622.8,1.0000,-3.09,-45.53
52,35481.3,1.0000,-3.63,-48.99
53,39810.7,1.0000,-4.22,-52.24
54,44668.4,1.0000,-4.85,-55.33
55,50118.7,1.0000,-5.55,-58.43
56,56234.1,1.0000,-6.29,-61.52
57,63095.7,1.0000,-7.12,-64.20
58,70794.6,1.0000,-7.97,-66.83
59,79432.8,1.0000,-8.79,-69.29
60,89125.1,1.0000,-9.69,-71.54
61,100000.0,1.0000,-10.59,-73.65
62,112201.8,1.0000,-11.51,-75.66
63,125892.5,1.0000,-12.46,-77.44
64,141253.8,1.0000,-13.40,-79.10
65,158489.3,1.0000,-14.38,-80.54
66,177827.9,1.0000,-15.35,-82.01
67,199526.2,1.0000,-16.41,-83.36
68,223872.1,1.0000,-17.39,-84.59
69,251188.6,1.0000,-18.44,-85.92
70,281838.3,1.0000,-19.54,-86.97
71,316227.8,1.0000,-20.63,-87.96
72,354813.4,1.0000,-21.74,-89.12
73,398107.2,1.0000,-22.86,-90.18
74,446683.6,1.0000,-24.09,-91.23
75,501187.2,1.0000,-25.31,-92.23
76,562341.3,1.0000,-26.63,-93.40
77,630957.3,1.0000,-28.00,-94.57
78,707945.8,1.0000,-29.52,-95.66
79,794328.2,1.0000,-31.24,-96.86
80,891250.9,1.0000,-33.28,-97.91
81,1000000.0,1.0000,-35.71,-98.96
